Afghanistan,"('Afghanistan', 'Afghanistan'),"
Saint Pierre And Miquelon,"('Saint Pierre And Miquelon', 'Saint Pierre And Miquelon'),"
Saint Vincent And The Grenadines,"('Saint Vincent And The Grenadines', 'Saint Vincent And The Grenadines'),"
Samoa,"('Samoa', 'Samoa'),"
San Marino,"('San Marino', 'San Marino'),"
Sao Tome And Principe,"('Sao Tome And Principe', 'Sao Tome And Principe'),"
Saudi Arabia,"('Saudi Arabia', 'Saudi Arabia'),"
Senegal,"('Senegal', 'Senegal'),"
Serbia,"('Serbia', 'Serbia'),"
Seychelles,"('Seychelles', 'Seychelles'),"
Sierra Leone,"('Sierra Leone', 'Sierra Leone'),"
Singapore,"('Singapore', 'Singapore'),"
Slovakia,"('Slovakia', 'Slovakia'),"
Slovenia,"('Slovenia', 'Slovenia'),"
Solomon Islands,"('Solomon Islands', 'Solomon Islands'),"
Somalia,"('Somalia', 'Somalia'),"
South Africa,"('South Africa', 'South Africa'),"
South Georgia And The South Sandwich Islands,"('South Georgia And The South Sandwich Islands', 'South Georgia And The South Sandwich Islands'),"
Spain,"('Spain', 'Spain'),"
Sri Lanka,"('Sri Lanka', 'Sri Lanka'),"
Sudan,"('Sudan', 'Sudan'),"
Suriname,"('Suriname', 'Suriname'),"
Svalbard And Jan Mayen,"('Svalbard And Jan Mayen', 'Svalbard And Jan Mayen'),"
Swaziland,"('Swaziland', 'Swaziland'),"
Sweden,"('Sweden', 'Sweden'),"
Switzerland,"('Switzerland', 'Switzerland'),"
Syrian Arab Republic,"('Syrian Arab Republic', 'Syrian Arab Republic'),"
"Taiwan, Province Of China","('Taiwan, Province Of China', 'Taiwan, Province Of China'),"
Tajikistan,"('Tajikistan', 'Tajikistan'),"
United Republic Of Tanzania,"('United Republic Of Tanzania', 'United Republic Of Tanzania'),"
Thailand,"('Thailand', 'Thailand'),"
Togo,"('Togo', 'Togo'),"
Tokelau,"('Tokelau', 'Tokelau'),"
Tonga,"('Tonga', 'Tonga'),"
Trinidad And Tobago,"('Trinidad And Tobago', 'Trinidad And Tobago'),"
Tunisia,"('Tunisia', 'Tunisia'),"
Turkey,"('Turkey', 'Turkey'),"
Turkmenistan,"('Turkmenistan', 'Turkmenistan'),"
Turks And Caicos Islands,"('Turks And Caicos Islands', 'Turks And Caicos Islands'),"
Tuvalu,"('Tuvalu', 'Tuvalu'),"
Uganda,"('Uganda', 'Uganda'),"
Ukraine,"('Ukraine', 'Ukraine'),"
United Arab Emirates,"('United Arab Emirates', 'United Arab Emirates'),"
United Kingdom,"('United Kingdom', 'United Kingdom'),"
United States of America,"('United States of America', 'United States of America'),"
United States Minor Outlying Islands,"('United States Minor Outlying Islands', 'United States Minor Outlying Islands'),"
Uruguay,"('Uruguay', 'Uruguay'),"
Uzbekistan,"('Uzbekistan', 'Uzbekistan'),"
Vanuatu,"('Vanuatu', 'Vanuatu'),"
Venezuela,"('Venezuela', 'Venezuela'),"
Viet Nam,"('Viet Nam', 'Viet Nam'),"
British Virgin Islands,"('British Virgin Islands', 'British Virgin Islands'),"
U.S. Virgin Islands,"('U.S. Virgin Islands', 'U.S. Virgin Islands'),"
Wallis And Futuna,"('Wallis And Futuna', 'Wallis And Futuna'),"
Western Sahara,"('Western Sahara', 'Western Sahara'),"
Yemen,"('Yemen', 'Yemen'),"
Zambia,"('Zambia', 'Zambia'),"
Zimbabwe,"('Zimbabwe', 'Zimbabwe'),"
